id	section	text
I020	natural	యజమాని మంచివాడైతే అద్దెకున్నవాళ్ళు ఎక్కువ కాలం ఉంటారు.
I021	natural	నెల మొదట్లో అద్దె కట్టడం అందరికీ అలవాటు.
I022	natural	కరెంటు బిల్లు, నీటి బిల్లు విడిగా ఉంటాయా అని అడిగారు.
I023	natural	రెండు నెలలు అడ్వాన్స్ ఇస్తే గది ఖాయం అవుతుంది.
I024	natural	గది చూడటానికి ఆదివారం ఉదయం వస్తామని చెప్పారు.
I025	natural	ఇంటి యజమానితో నేరుగా మాట్లాడితే విషయం త్వరగా తేలుతుంది.
I026	natural	ప్రయాణంలో ఉన్నాను, కొంచెం సేపటి తర్వాత మాట్లాడతాను.
I027	natural	ఇప్పుడు కొంచెం పని ఒత్తిడిలో ఉన్నాను, సాయంత్రం కుదురుతుంది.
I028	natural	మీరు పంపిన సందేశం చూశాను, వివరాలు బాగున్నాయి.
I029	natural	మా వాళ్ళతో ఒకసారి మాట్లాడి, రేపు ఖచ్చితంగా చెబుతాను.
I030	natural	ఇంతకుముందు ఇలాంటివి చాలా వచ్చాయి, అందుకే కొంచెం సందేహం.
I031	natural	మీరు చెప్పేది వినడానికి బాగానే ఉంది, కానీ నాకు అనుమానం ఉంది.
I032	natural	డబ్బు కట్టాలంటే ముందు పూర్తిగా అర్థం కావాలి కదా.
I033	natural	ఎవరో ఫోన్ చేసి ఇలాగే చెప్పి మోసం చేశారు, అందుకే భయం.
I034	natural	మీ కంపెనీ గురించి కొంచెం వివరంగా చెప్పగలరా?
I035	natural	ఆఫీసు ఎక్కడ ఉంది, ఎవరు నడుపుతున్నారు?
I036	natural	నాకు ఇలాంటివి పెద్దగా అర్థం కావు, మా అబ్బాయితో మాట్లాడండి.
I037	natural	నాకు ఫోన్‌లో కాకుండా నేరుగా వచ్చి చెప్పండి.
I038	natural	ఇప్పుడు అన్ని గదులూ నిండిపోయాయి, ఖాళీ లేదు.
I039	natural	వచ్చే నెల నుంచి కొన్ని గదులు ఖాళీ అవుతాయి.
I040	natural	ప్రస్తుతానికి అవసరం లేదు, తర్వాత చూద్దాం.
I041	natural	మంచి విషయమే, కానీ ఇప్పుడు కాదు.
I042	natural	మీరు మళ్ళీ ఫోన్ చేయండి, అప్పుడు మాట్లాడతాను.
I043	natural	నేనే మీకు ఫోన్ చేస్తాను, నంబర్ పంపండి.
I044	natural	ఇది నాకు ఉపయోగపడుతుందని అనిపిస్తోంది, ముందుకు వెళ్దాం.
I045	natural	సరే, ఎలా మొదలుపెట్టాలో చెప్పండి.
I046	natural	ఏం చేయాలో వివరంగా చెబితే నేను సిద్ధమే.
I047	natural	ఫోటోలు నేను పంపనా, లేక మీరే వచ్చి తీస్తారా?
I048	natural	నా దగ్గర మంచి ఫోటోలు ఉన్నాయి, వెంటనే పంపిస్తాను.
I049	natural	ధర ఎంత పెట్టాలో మీరే సలహా ఇవ్వండి.
I050	natural	మా దగ్గర భోజన సదుపాయం కూడా ఉంది, అది కూడా చెప్పండి.
I051	natural	చుట్టుపక్కల కళాశాలలు, ఆసుపత్రులు దగ్గరలోనే ఉన్నాయి.
I052	natural	బస్టాండ్ నుంచి పది నిమిషాల నడక దూరంలో ఉంది.
I053	natural	ఇరవై నాలుగు గంటలూ నీటి సదుపాయం ఉంటుంది.
I054	natural	పార్కింగ్ సౌకర్యం కూడా ఉంది, ఇబ్బంది ఉండదు.
I055	natural	పరిశుభ్రత విషయంలో మేము రాజీ పడము.
J001	call_more	మీరు చెప్పేది పూర్తిగా విన్నాను సర్, ఇప్పుడు నేను చెప్పేది ఒక్కసారి వినండి.
J002	call_more	మీ property ఇప్పటికే బాగా నడుస్తోంది, అది నాకు తెలుసు సర్.
J003	call_more	మేము చేసేది ఒక్కటే — మీ ఖాళీ గదులు ఎక్కువ మందికి కనిపించేలా చేయడం.
J004	call_more	డబ్బు కట్టమని అడగడం లేదు సర్, పూర్తిగా ఉచితం.
J005	call_more	మీరు ఒప్పుకున్నాకే మేము ముందుకు వెళ్తాం సర్.
J006	call_more	ఎప్పుడైనా వద్దు అనుకుంటే వెంటనే తీసేస్తాం సర్.
J007	call_more	మీ ఫోన్ నంబర్ ఎక్కడా బయటకు ఇవ్వం సర్, అది గ్యారంటీ.
J008	call_more	కస్టమర్ మీకు నేరుగా ఫోన్ చేస్తారు సర్.
J009	call_more	మధ్యలో ఎవరూ ఉండరు, డబ్బు కూడా మీకే నేరుగా వస్తుంది.
J010	call_more	ఒక్కసారి చూసి, నచ్చకపోతే మానేయొచ్చు సర్.
J011	call_more	మీలాంటి యజమానులు చాలా మంది ఇప్పటికే చేరారు సర్.
J012	call_more	ఎక్కువ సమయం తీసుకోను సర్, రెండు నిమిషాల్లో అయిపోతుంది.
J013	call_more	మీకు వీలైనప్పుడు మా టీమ్ వచ్చి ఫోటోలు తీస్తుంది.
J014	call_more	అన్ని వివరాలూ మేమే నింపుతాం సర్, మీరు చూసి ఒప్పుకుంటే చాలు.
J015	call_more	మీ గదుల ధర మీరే నిర్ణయించుకోవచ్చు సర్.
J016	call_more	ఎవరు ఉండాలో, ఎవరు వద్దో కూడా మీ ఇష్టమే.
J017	call_more	బుకింగ్ వచ్చినప్పుడు మీకు సందేశం వస్తుంది సర్.
J018	call_more	మీరు సరే అంటేనే ముందుకు వెళ్తుంది.
J019	call_more	ఇది కొత్త పద్ధతి కాదు సర్, చాలా చోట్ల ఇలాగే జరుగుతోంది.
J020	call_more	మీకు ఒక్క రూపాయి కూడా ఖర్చు ఉండదు సర్.
J021	call_more	అర్థమైంది సర్, మీకు ఇప్పుడు సమయం లేదు.
J022	call_more	ఎప్పుడు కుదురుతుందో చెబితే అప్పుడే ఫోన్ చేస్తాను సర్.
J023	call_more	రేపు ఇదే సమయానికి చేయనా సర్?
J024	call_more	మీకు ఉదయం మంచిదా, సాయంత్రం మంచిదా సర్?
J025	call_more	సరే సర్, రేపు ఉదయం పదకొండు గంటలకు ఫోన్ చేస్తాను.
J026	call_more	మీ సమయం తీసుకున్నందుకు క్షమించండి సర్.
J027	call_more	ఇబ్బంది అనిపిస్తే చెప్పండి, ఇక ఫోన్ చేయను సర్.
J028	call_more	మీ నిర్ణయాన్ని పూర్తిగా గౌరవిస్తాను సర్.
J029	call_more	ధన్యవాదాలు సర్, మీ వ్యాపారం బాగా జరగాలి.
J030	call_more	మంచి రోజు గడపండి సర్, నమస్కారం.
J031	call_more	మీరు అడిగిన వివరాలన్నీ పంపిస్తాను సర్.
J032	call_more	ఇంకా ఏమైనా సందేహాలు ఉంటే ఇప్పుడే అడగండి సర్.
J033	call_more	మా టీమ్ నుంచి ఒకరు మీకు ఫోన్ చేస్తారు సర్.
J034	call_more	మీతో మాట్లాడటానికి ఒకరిని ఇప్పుడే కలుపుతాను సర్.
J035	call_more	ఒక్క నిమిషం లైన్‌లో ఉండండి సర్.
J036	call_more	మీ పేరు ఎలా రాసుకోవాలి సర్?
J037	call_more	మీ property పేరు సరిగ్గా చెప్పగలరా సర్?
J038	call_more	ఏ ఏరియాలో ఉంది సర్ మీ hostel?
J039	call_more	చిరునామా మొత్తం చెప్పండి సర్, రాసుకుంటాను.
J040	call_more	మీరు చెప్పింది రాసుకున్నాను సర్, ధన్యవాదాలు.
K001	tenglish2	మీ property ఇప్పుడే launch అయిన platform లో కనిపిస్తుంది సర్.
K002	tenglish2	మా app త్వరలో Play Store లో కూడా వస్తుంది.
K003	tenglish2	profile complete అయితే ఎక్కువ bookings వస్తాయి సర్.
K004	tenglish2	మీ listing top లో కనిపించేలా చేస్తాం.
K005	tenglish2	verification పూర్తయ్యాక live అవుతుంది సర్.
K006	tenglish2	ఒక్క form fill చేస్తే చాలు సర్.
K007	tenglish2	మీ email address ఉందా సర్?
K008	tenglish2	address, pincode కూడా అవసరం అవుతుంది సర్.
K009	tenglish2	amenities list చేస్తే customers కి clarity ఉంటుంది.
K010	tenglish2	WiFi, parking, laundry వంటివి mention చేద్దాం సర్.
K011	tenglish2	price range ఎంత పెడదాం సర్?
K012	tenglish2	discount ఇవ్వాలంటే మీ ఇష్టం సర్.
K013	tenglish2	review వస్తే మీ rating పెరుగుతుంది సర్.
K014	tenglish2	support team ఎప్పుడూ అందుబాటులో ఉంటుంది.
K015	tenglish2	మీకు training కూడా ఇస్తాం సర్, ఇబ్బంది ఉండదు.
K016	tenglish2	demo చూపించమంటారా సర్?
K017	tenglish2	screenshot పంపిస్తే అర్థమవుతుంది సర్.
K018	tenglish2	link click చేస్తే అంతా కనిపిస్తుంది.
K019	tenglish2	మీ hostel photos quality బాగుంటే bookings ఎక్కువ.
K020	tenglish2	update ఏదైనా ఉంటే మాకు చెప్పండి సర్.
L001	prosody	నిజంగానా సర్? అది చాలా మంచి విషయం!
L002	prosody	అయ్యో, అలా అయితే ఇబ్బందే కదా సర్.
L003	prosody	ఓహ్! నాకు తెలియదు సర్, చెప్పినందుకు ధన్యవాదాలు.
L004	prosody	అలాగా? మరి ఇప్పుడు ఏం చేద్దాం సర్?
L005	prosody	చాలా సంతోషం సర్! వెంటనే మొదలుపెడదాం.
L006	prosody	ఒక్క నిమిషం... ఒక్క నిమిషం సర్, వింటున్నాను.
L007	prosody	హలో? హలో సర్, వినపడుతుందా?
L008	prosody	సరే... సరే సర్, అర్థమైంది.
L009	prosody	అబ్బా, ఈరోజు చాలా బిజీగా ఉన్నట్టున్నారు సర్.
L010	prosody	హమ్మయ్య, చివరికి కుదిరింది సర్.
L011	prosody	మీరు ఖచ్చితంగా చెప్పండి సర్, నేను రాసుకుంటాను.
L012	prosody	ఒకటి, రెండు, మూడు — ఇలా మూడు ముఖ్యమైన విషయాలు ఉన్నాయి సర్.
L013	prosody	మొదటిది ఉచితం, రెండోది సులభం, మూడోది మీ నియంత్రణలోనే ఉంటుంది.
L014	prosody	వినండి సర్, ఇది చాలా ముఖ్యమైన విషయం.
L015	prosody	దయచేసి ఒక్కసారి ఆలోచించండి సర్.
L016	prosody	మీకు నచ్చకపోతే ఇప్పుడే చెప్పండి సర్, ఏమీ అనుకోను.
L017	prosody	నేను చెప్పింది మీకు అర్థమైందా సర్?
L018	prosody	ఇంకోసారి చెప్పమంటారా సర్?
L019	prosody	నెమ్మదిగా చెబుతాను సర్, జాగ్రత్తగా వినండి.
L020	prosody	చాలా చాలా ధన్యవాదాలు సర్!
L021	prosody	మీ సహాయానికి ఎంతో కృతజ్ఞుడిని సర్.
L022	prosody	క్షమించండి సర్! మధ్యలో మాట్లాడాను.
L023	prosody	వద్దు సర్, అలా చేయకండి.
L024	prosody	తప్పకుండా సర్! అలాగే చేద్దాం.
L025	prosody	ఏమీ ఇబ్బంది లేదు సర్, మీ ఇష్టం.
